;quarter;output gap
196;2016,25;2,0218542414777385
197;2016,5;2,450761474989127
198;2016,75;2,4884442332342216
199;2017,0;2,817038725316734
200;2017,25;3,021293568155703
201;2017,5;3,1473774841236146
202;2017,75;3,0079972408547206
203;2018,0;3,1953722024214315
204;2018,25;3,318271698349573
205;2018,5;3,6166157306626534
206;2018,75;3,4894803411561925
207;2019,0;3,471274799956525
208;2019,25;3,5102662391488737
209;2019,5;3,9494136447191686
210;2019,75;3,6871734076435736
211;2020,0;1,676110760840599
212;2020,25;-14,24814379
